Variable,Measure,COU,Country,Year,Value
Diseases of the circulatory system,Number of total deaths,AUT,Austria,2013,34101
Diseases of the circulatory system,Number of total deaths,AUT,Austria,2014,33136
Diseases of the circulatory system,Number of total deaths,AUT,Austria,2015,35537
Diseases of the circulatory system,Number of total deaths,AUT,Austria,2016,33248
Diseases of the respiratory system,Number of total deaths,AUT,Austria,1993,3852
Diseases of the respiratory system,Number of total deaths,AUT,Austria,1994,3469
Diseases of the respiratory system,Number of total deaths,AUT,Austria,1995,3422
Diseases of the respiratory system,Number of total deaths,AUT,Austria,1996,3519
Diseases of the respiratory system,Number of total deaths,AUT,Austria,1997,3555
Diseases of the respiratory system,Number of total deaths,AUT,Austria,1998,3552
Diseases of the respiratory system,Number of total deaths,AUT,Austria,1999,4041
Diseases of the respiratory system,Number of total deaths,AUT,Austria,2000,4087
